2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps1
41: acc=79.32% acc_corr=82.65% avg#q_ae=19.48 med#q=42.0, avg_margin=5.94, buff=19194, (n_ex=9597, eps=1.000, 285.36s)
42: acc=79.11% acc_corr=82.43% avg#q_ae=19.79 med#q=43.0, avg_margin=5.91, buff=19194, (n_ex=9597, eps=1.000, 291.70s)
43: acc=78.52% acc_corr=81.82% avg#q_ae=20.64 med#q=44.0, avg_margin=5.84, buff=19194, (n_ex=9597, eps=1.000, 298.06s)
44: acc=78.19% acc_corr=81.47% avg#q_ae=21.11 med#q=45.0, avg_margin=5.81, buff=19194, (n_ex=9597, eps=1.000, 304.45s)
45: acc=77.88% acc_corr=81.15% avg#q_ae=21.55 med#q=46.0, avg_margin=5.77, buff=19194, (n_ex=9597, eps=1.000, 310.79s)
46: acc=77.50% acc_corr=80.75% avg#q_ae=22.10 med#q=47.0, avg_margin=5.72, buff=19194, (n_ex=9597, eps=1.000, 317.01s)
47: acc=77.21% acc_corr=80.45% avg#q_ae=22.51 med#q=48.0, avg_margin=5.68, buff=19194, (n_ex=9597, eps=1.000, 323.28s)
48: acc=76.86% acc_corr=80.09% avg#q_ae=23.02 med#q=49.0, avg_margin=5.65, buff=19194, (n_ex=9597, eps=1.000, 329.51s)
49: acc=76.53% acc_corr=79.74% avg#q_ae=23.49 med#q=50.0, avg_margin=5.61, buff=19194, (n_ex=9597, eps=1.000, 335.73s)
50: acc=76.29% acc_corr=79.49% avg#q_ae=23.84 med#q=51.0, avg_margin=5.57, buff=19194, (n_ex=9597, eps=1.000, 341.83s)
51: acc=75.89% acc_corr=79.08% avg#q_ae=24.42 med#q=52.0, avg_margin=5.53, buff=19194, (n_ex=9597, eps=1.000, 348.02s)
52: acc=75.73% acc_corr=78.91% avg#q_ae=24.65 med#q=53.0, avg_margin=5.51, buff=19194, (n_ex=9597, eps=1.000, 354.11s)
53: acc=75.51% acc_corr=78.68% avg#q_ae=24.98 med#q=54.0, avg_margin=5.48, buff=19194, (n_ex=9597, eps=1.000, 360.18s)
54: acc=75.28% acc_corr=78.44% avg#q_ae=25.32 med#q=55.0, avg_margin=5.45, buff=19194, (n_ex=9597, eps=1.000, 366.32s)
55: acc=75.08% acc_corr=78.23% avg#q_ae=25.63 med#q=56.0, avg_margin=5.42, buff=19194, (n_ex=9597, eps=1.000, 372.46s)
56: acc=74.93% acc_corr=78.08% avg#q_ae=25.86 med#q=57.0, avg_margin=5.40, buff=19194, (n_ex=9597, eps=1.000, 378.44s)
57: acc=74.72% acc_corr=77.86% avg#q_ae=26.19 med#q=58.0, avg_margin=5.38, buff=19194, (n_ex=9597, eps=1.000, 384.42s)
58: acc=74.25% acc_corr=77.37% avg#q_ae=26.92 med#q=59.0, avg_margin=5.34, buff=19194, (n_ex=9597, eps=1.000, 390.42s)
59: acc=73.89% acc_corr=76.99% avg#q_ae=27.47 med#q=60.0, avg_margin=5.30, buff=19194, (n_ex=9597, eps=1.000, 396.39s)
60: acc=73.72% acc_corr=76.82% avg#q_ae=27.74 med#q=61.0, avg_margin=5.27, buff=19194, (n_ex=9597, eps=1.000, 402.28s)
61: acc=73.65% acc_corr=76.74% avg#q_ae=27.85 med#q=62.0, avg_margin=5.26, buff=19194, (n_ex=9597, eps=1.000, 408.18s)
62: acc=73.32% acc_corr=76.40% avg#q_ae=28.37 med#q=63.0, avg_margin=5.22, buff=19194, (n_ex=9597, eps=1.000, 414.16s)
63: acc=73.03% acc_corr=76.10% avg#q_ae=28.84 med#q=64.0, avg_margin=5.18, buff=19194, (n_ex=9597, eps=1.000, 420.07s)
64: acc=72.54% acc_corr=75.59% avg#q_ae=29.62 med#q=65.0, avg_margin=5.14, buff=19194, (n_ex=9597, eps=1.000, 426.06s)
65: acc=72.21% acc_corr=75.24% avg#q_ae=30.13 med#q=66.0, avg_margin=5.11, buff=19194, (n_ex=9597, eps=1.000, 431.95s)
66: acc=71.96% acc_corr=74.98% avg#q_ae=30.53 med#q=67.0, avg_margin=5.08, buff=19194, (n_ex=9597, eps=1.000, 437.73s)
67: acc=71.65% acc_corr=74.66% avg#q_ae=31.02 med#q=68.0, avg_margin=5.06, buff=19194, (n_ex=9597, eps=1.000, 443.49s)
68: acc=71.30% acc_corr=74.29% avg#q_ae=31.57 med#q=69.0, avg_margin=5.03, buff=19194, (n_ex=9597, eps=1.000, 449.25s)
69: acc=71.10% acc_corr=74.09% avg#q_ae=31.89 med#q=70.0, avg_margin=5.01, buff=19194, (n_ex=9597, eps=1.000, 455.04s)
70: acc=71.06% acc_corr=74.04% avg#q_ae=31.95 med#q=71.0, avg_margin=5.00, buff=19194, (n_ex=9597, eps=1.000, 460.69s)
71: acc=70.82% acc_corr=73.79% avg#q_ae=32.35 med#q=72.0, avg_margin=4.97, buff=19194, (n_ex=9597, eps=1.000, 466.37s)
72: acc=70.62% acc_corr=73.59% avg#q_ae=32.67 med#q=73.0, avg_margin=4.95, buff=19194, (n_ex=9597, eps=1.000, 472.03s)
73: acc=70.29% acc_corr=73.24% avg#q_ae=33.22 med#q=74.0, avg_margin=4.91, buff=19194, (n_ex=9597, eps=1.000, 477.70s)
74: acc=70.12% acc_corr=73.06% avg#q_ae=33.50 med#q=75.0, avg_margin=4.90, buff=19194, (n_ex=9597, eps=1.000, 483.23s)
