2021-03-26_19-45-48_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps4
41: acc=88.48% acc_corr=92.20% avg#q_ae=17.84 med#q=42.0, avg_margin=7.23, buff=19194, (n_ex=9597, eps=4.000, 271.97s)
42: acc=88.39% acc_corr=92.10% avg#q_ae=18.15 med#q=43.0, avg_margin=7.21, buff=19194, (n_ex=9597, eps=4.000, 278.36s)
43: acc=88.22% acc_corr=91.92% avg#q_ae=18.74 med#q=44.0, avg_margin=7.17, buff=19194, (n_ex=9597, eps=4.000, 284.83s)
44: acc=87.92% acc_corr=91.61% avg#q_ae=19.75 med#q=45.0, avg_margin=7.13, buff=19194, (n_ex=9597, eps=4.000, 291.24s)
45: acc=87.84% acc_corr=91.53% avg#q_ae=20.02 med#q=46.0, avg_margin=7.12, buff=19194, (n_ex=9597, eps=4.000, 297.55s)
46: acc=87.63% acc_corr=91.31% avg#q_ae=20.73 med#q=47.0, avg_margin=7.08, buff=19194, (n_ex=9597, eps=4.000, 303.90s)
47: acc=87.54% acc_corr=91.22% avg#q_ae=21.03 med#q=48.0, avg_margin=7.06, buff=19194, (n_ex=9597, eps=4.000, 310.21s)
48: acc=87.22% acc_corr=90.88% avg#q_ae=22.09 med#q=49.0, avg_margin=7.02, buff=19194, (n_ex=9597, eps=4.000, 316.64s)
49: acc=87.11% acc_corr=90.77% avg#q_ae=22.45 med#q=50.0, avg_margin=7.00, buff=19194, (n_ex=9597, eps=4.000, 323.01s)
50: acc=86.97% acc_corr=90.62% avg#q_ae=22.91 med#q=51.0, avg_margin=6.98, buff=19194, (n_ex=9597, eps=4.000, 329.44s)
51: acc=86.75% acc_corr=90.39% avg#q_ae=23.62 med#q=52.0, avg_margin=6.95, buff=19194, (n_ex=9597, eps=4.000, 335.71s)
52: acc=86.67% acc_corr=90.31% avg#q_ae=23.88 med#q=53.0, avg_margin=6.93, buff=19194, (n_ex=9597, eps=4.000, 341.92s)
53: acc=86.51% acc_corr=90.14% avg#q_ae=24.41 med#q=54.0, avg_margin=6.92, buff=19194, (n_ex=9597, eps=4.000, 348.16s)
54: acc=86.38% acc_corr=90.01% avg#q_ae=24.84 med#q=55.0, avg_margin=6.89, buff=19194, (n_ex=9597, eps=4.000, 354.38s)
55: acc=86.33% acc_corr=89.96% avg#q_ae=25.01 med#q=56.0, avg_margin=6.88, buff=19194, (n_ex=9597, eps=4.000, 360.59s)
56: acc=86.14% acc_corr=89.76% avg#q_ae=25.64 med#q=57.0, avg_margin=6.85, buff=19194, (n_ex=9597, eps=4.000, 366.85s)
57: acc=86.05% acc_corr=89.66% avg#q_ae=25.95 med#q=58.0, avg_margin=6.84, buff=19194, (n_ex=9597, eps=4.000, 373.13s)
58: acc=85.94% acc_corr=89.55% avg#q_ae=26.32 med#q=59.0, avg_margin=6.82, buff=19194, (n_ex=9597, eps=4.000, 379.45s)
59: acc=85.85% acc_corr=89.46% avg#q_ae=26.63 med#q=60.0, avg_margin=6.80, buff=19194, (n_ex=9597, eps=4.000, 385.62s)
60: acc=85.64% acc_corr=89.24% avg#q_ae=27.35 med#q=61.0, avg_margin=6.77, buff=19194, (n_ex=9597, eps=4.000, 391.77s)
61: acc=85.45% acc_corr=89.04% avg#q_ae=27.99 med#q=62.0, avg_margin=6.75, buff=19194, (n_ex=9597, eps=4.000, 397.94s)
62: acc=85.37% acc_corr=88.95% avg#q_ae=28.26 med#q=63.0, avg_margin=6.74, buff=19194, (n_ex=9597, eps=4.000, 404.11s)
63: acc=85.28% acc_corr=88.86% avg#q_ae=28.57 med#q=64.0, avg_margin=6.73, buff=19194, (n_ex=9597, eps=4.000, 410.24s)
64: acc=85.00% acc_corr=88.57% avg#q_ae=29.53 med#q=65.0, avg_margin=6.69, buff=19194, (n_ex=9597, eps=4.000, 416.51s)
65: acc=84.93% acc_corr=88.50% avg#q_ae=29.77 med#q=66.0, avg_margin=6.68, buff=19194, (n_ex=9597, eps=4.000, 422.64s)
66: acc=84.78% acc_corr=88.34% avg#q_ae=30.28 med#q=67.0, avg_margin=6.66, buff=19194, (n_ex=9597, eps=4.000, 428.86s)
67: acc=84.76% acc_corr=88.32% avg#q_ae=30.35 med#q=68.0, avg_margin=6.65, buff=19194, (n_ex=9597, eps=4.000, 434.95s)
68: acc=84.68% acc_corr=88.24% avg#q_ae=30.63 med#q=69.0, avg_margin=6.63, buff=19194, (n_ex=9597, eps=4.000, 440.99s)
69: acc=84.60% acc_corr=88.15% avg#q_ae=30.91 med#q=70.0, avg_margin=6.62, buff=19194, (n_ex=9597, eps=4.000, 447.08s)
70: acc=84.55% acc_corr=88.10% avg#q_ae=31.09 med#q=71.0, avg_margin=6.61, buff=19194, (n_ex=9597, eps=4.000, 453.11s)
71: acc=84.52% acc_corr=88.07% avg#q_ae=31.20 med#q=72.0, avg_margin=6.60, buff=19194, (n_ex=9597, eps=4.000, 459.20s)
72: acc=84.43% acc_corr=87.98% avg#q_ae=31.54 med#q=73.0, avg_margin=6.59, buff=19194, (n_ex=9597, eps=4.000, 465.37s)
73: acc=84.38% acc_corr=87.92% avg#q_ae=31.72 med#q=74.0, avg_margin=6.57, buff=19194, (n_ex=9597, eps=4.000, 471.57s)
74: acc=84.19% acc_corr=87.73% avg#q_ae=32.44 med#q=75.0, avg_margin=6.55, buff=19194, (n_ex=9597, eps=4.000, 477.70s)
75: acc=84.14% acc_corr=87.67% avg#q_ae=32.63 med#q=76.0, avg_margin=6.54, buff=19194, (n_ex=9597, eps=4.000, 483.81s)
76: acc=84.00% acc_corr=87.53% avg#q_ae=33.16 med#q=77.0, avg_margin=6.52, buff=19194, (n_ex=9597, eps=4.000, 489.87s)
77: acc=83.92% acc_corr=87.44% avg#q_ae=33.46 med#q=78.0, avg_margin=6.50, buff=19194, (n_ex=9597, eps=4.000, 495.96s)
78: acc=83.76% acc_corr=87.28% avg#q_ae=34.07 med#q=79.0, avg_margin=6.48, buff=19194, (n_ex=9597, eps=4.000, 501.98s)
79: acc=83.72% acc_corr=87.24% avg#q_ae=34.22 med#q=80.0, avg_margin=6.46, buff=19194, (n_ex=9597, eps=4.000, 508.01s)
80: acc=83.62% acc_corr=87.13% avg#q_ae=34.61 med#q=81.0, avg_margin=6.44, buff=19194, (n_ex=9597, eps=4.000, 514.00s)
81: acc=83.53% acc_corr=87.04% avg#q_ae=34.96 med#q=82.0, avg_margin=6.43, buff=19194, (n_ex=9597, eps=4.000, 520.03s)
82: acc=83.45% acc_corr=86.95% avg#q_ae=35.27 med#q=83.0, avg_margin=6.42, buff=19194, (n_ex=9597, eps=4.000, 526.15s)
83: acc=83.38% acc_corr=86.88% avg#q_ae=35.55 med#q=84.0, avg_margin=6.41, buff=19194, (n_ex=9597, eps=4.000, 532.25s)
84: acc=83.27% acc_corr=86.77% avg#q_ae=35.99 med#q=85.0, avg_margin=6.39, buff=19194, (n_ex=9597, eps=4.000, 538.30s)
85: acc=83.01% acc_corr=86.50% avg#q_ae=37.01 med#q=86.0, avg_margin=6.36, buff=19194, (n_ex=9597, eps=4.000, 544.32s)
86: acc=82.85% acc_corr=86.33% avg#q_ae=37.63 med#q=87.0, avg_margin=6.34, buff=19194, (n_ex=9597, eps=4.000, 550.28s)
87: acc=82.77% acc_corr=86.25% avg#q_ae=37.94 med#q=88.0, avg_margin=6.32, buff=19194, (n_ex=9597, eps=4.000, 556.22s)
88: acc=82.58% acc_corr=86.05% avg#q_ae=38.68 med#q=89.0, avg_margin=6.30, buff=19194, (n_ex=9597, eps=4.000, 562.16s)
89: acc=82.46% acc_corr=85.92% avg#q_ae=39.15 med#q=90.0, avg_margin=6.28, buff=19194, (n_ex=9597, eps=4.000, 568.10s)
90: acc=82.39% acc_corr=85.85% avg#q_ae=39.42 med#q=91.0, avg_margin=6.27, buff=19194, (n_ex=9597, eps=4.000, 574.15s)
91: acc=82.28% acc_corr=85.74% avg#q_ae=39.85 med#q=92.0, avg_margin=6.26, buff=19194, (n_ex=9597, eps=4.000, 580.19s)
92: acc=82.15% acc_corr=85.60% avg#q_ae=40.36 med#q=93.0, avg_margin=6.24, buff=19194, (n_ex=9597, eps=4.000, 586.15s)
93: acc=82.06% acc_corr=85.51% avg#q_ae=40.71 med#q=94.0, avg_margin=6.23, buff=19194, (n_ex=9597, eps=4.000, 592.12s)
94: acc=81.96% acc_corr=85.40% avg#q_ae=41.11 med#q=95.0, avg_margin=6.23, buff=19194, (n_ex=9597, eps=4.000, 597.99s)
95: acc=81.87% acc_corr=85.31% avg#q_ae=41.46 med#q=96.0, avg_margin=6.21, buff=19194, (n_ex=9597, eps=4.000, 603.87s)
96: acc=81.76% acc_corr=85.19% avg#q_ae=41.90 med#q=97.0, avg_margin=6.20, buff=19194, (n_ex=9597, eps=4.000, 609.74s)
97: acc=81.56% acc_corr=84.98% avg#q_ae=42.69 med#q=98.0, avg_margin=6.18, buff=19194, (n_ex=9597, eps=4.000, 615.66s)
