

All hps: 2021-03-10 11:51:39 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=8.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
2021-03-10_11-52-00_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1__Eps8
40: acc=69.63% acc_corr=72.55% avg#q_ae=15.27 med#q=41.0, avg_margin=4.48, buff=19194, (n_ex=9597, eps=8.000, 222.49s)
41: acc=69.36% acc_corr=72.27% avg#q_ae=15.55 med#q=42.0, avg_margin=4.45, buff=19194, (n_ex=9597, eps=8.000, 227.65s)
42: acc=69.13% acc_corr=72.03% avg#q_ae=15.79 med#q=43.0, avg_margin=4.42, buff=19194, (n_ex=9597, eps=8.000, 232.85s)
43: acc=68.48% acc_corr=71.36% avg#q_ae=16.48 med#q=44.0, avg_margin=4.36, buff=19194, (n_ex=9597, eps=8.000, 237.86s)
44: acc=67.74% acc_corr=70.58% avg#q_ae=17.26 med#q=45.0, avg_margin=4.29, buff=19194, (n_ex=9597, eps=8.000, 242.88s)
45: acc=67.64% acc_corr=70.48% avg#q_ae=17.36 med#q=46.0, avg_margin=4.27, buff=19194, (n_ex=9597, eps=8.000, 247.79s)
46: acc=67.20% acc_corr=70.02% avg#q_ae=17.83 med#q=47.0, avg_margin=4.22, buff=19194, (n_ex=9597, eps=8.000, 252.71s)
47: acc=67.04% acc_corr=69.86% avg#q_ae=18.00 med#q=48.0, avg_margin=4.20, buff=19194, (n_ex=9597, eps=8.000, 257.82s)
48: acc=66.38% acc_corr=69.17% avg#q_ae=18.72 med#q=49.0, avg_margin=4.13, buff=19194, (n_ex=9597, eps=8.000, 262.80s)
49: acc=66.01% acc_corr=68.78% avg#q_ae=19.11 med#q=50.0, avg_margin=4.09, buff=19194, (n_ex=9597, eps=8.000, 267.87s)
50: acc=65.77% acc_corr=68.53% avg#q_ae=19.38 med#q=51.0, avg_margin=4.06, buff=19194, (n_ex=9597, eps=8.000, 272.60s)
51: acc=65.36% acc_corr=68.10% avg#q_ae=19.83 med#q=52.0, avg_margin=4.02, buff=19194, (n_ex=9597, eps=8.000, 277.61s)
52: acc=65.07% acc_corr=67.80% avg#q_ae=20.15 med#q=53.0, avg_margin=3.99, buff=19194, (n_ex=9597, eps=8.000, 282.44s)
53: acc=64.77% acc_corr=67.49% avg#q_ae=20.48 med#q=54.0, avg_margin=3.95, buff=19194, (n_ex=9597, eps=8.000, 287.11s)
54: acc=64.57% acc_corr=67.28% avg#q_ae=20.71 med#q=55.0, avg_margin=3.92, buff=19194, (n_ex=9597, eps=8.000, 291.67s)
55: acc=64.17% acc_corr=66.86% avg#q_ae=21.16 med#q=56.0, avg_margin=3.88, buff=19194, (n_ex=9597, eps=8.000, 296.55s)
56: acc=63.99% acc_corr=66.68% avg#q_ae=21.37 med#q=57.0, avg_margin=3.86, buff=19194, (n_ex=9597, eps=8.000, 301.25s)
57: acc=63.56% acc_corr=66.23% avg#q_ae=21.87 med#q=58.0, avg_margin=3.82, buff=19194, (n_ex=9597, eps=8.000, 305.93s)
58: acc=63.16% acc_corr=65.81% avg#q_ae=22.34 med#q=59.0, avg_margin=3.78, buff=19194, (n_ex=9597, eps=8.000, 310.61s)
59: acc=62.81% acc_corr=65.45% avg#q_ae=22.74 med#q=60.0, avg_margin=3.75, buff=19194, (n_ex=9597, eps=8.000, 315.03s)
60: acc=62.64% acc_corr=65.27% avg#q_ae=22.94 med#q=61.0, avg_margin=3.73, buff=19194, (n_ex=9597, eps=8.000, 319.56s)
61: acc=61.99% acc_corr=64.59% avg#q_ae=23.71 med#q=62.0, avg_margin=3.67, buff=19194, (n_ex=9597, eps=8.000, 324.13s)
62: acc=61.49% acc_corr=64.07% avg#q_ae=24.29 med#q=63.0, avg_margin=3.63, buff=19194, (n_ex=9597, eps=8.000, 328.77s)
63: acc=61.34% acc_corr=63.92% avg#q_ae=24.47 med#q=64.0, avg_margin=3.61, buff=19194, (n_ex=9597, eps=8.000, 333.23s)
64: acc=60.91% acc_corr=63.47% avg#q_ae=24.98 med#q=65.0, avg_margin=3.57, buff=19194, (n_ex=9597, eps=8.000, 337.70s)
65: acc=60.48% acc_corr=63.02% avg#q_ae=25.49 med#q=66.0, avg_margin=3.54, buff=19194, (n_ex=9597, eps=8.000, 342.20s)
66: acc=60.20% acc_corr=62.73% avg#q_ae=25.82 med#q=67.0, avg_margin=3.51, buff=19194, (n_ex=9597, eps=8.000, 346.65s)
67: acc=59.93% acc_corr=62.45% avg#q_ae=26.15 med#q=68.0, avg_margin=3.48, buff=19194, (n_ex=9597, eps=8.000, 351.05s)
68: acc=59.76% acc_corr=62.27% avg#q_ae=26.35 med#q=69.0, avg_margin=3.46, buff=19194, (n_ex=9597, eps=8.000, 355.34s)
69: acc=59.60% acc_corr=62.10% avg#q_ae=26.55 med#q=70.0, avg_margin=3.44, buff=19194, (n_ex=9597, eps=8.000, 361.02s)
70: acc=59.38% acc_corr=61.87% avg#q_ae=26.82 med#q=71.0, avg_margin=3.42, buff=19194, (n_ex=9597, eps=8.000, 365.76s)
71: acc=59.06% acc_corr=61.54% avg#q_ae=27.22 med#q=72.0, avg_margin=3.39, buff=19194, (n_ex=9597, eps=8.000, 370.55s)
72: acc=58.39% acc_corr=60.84% avg#q_ae=28.06 med#q=73.0, avg_margin=3.34, buff=19194, (n_ex=9597, eps=8.000, 374.89s)
73: acc=58.21% acc_corr=60.65% avg#q_ae=28.28 med#q=74.0, avg_margin=3.32, buff=19194, (n_ex=9597, eps=8.000, 379.21s)
74: acc=57.95% acc_corr=60.38% avg#q_ae=28.61 med#q=75.0, avg_margin=3.30, buff=19194, (n_ex=9597, eps=8.000, 383.39s)
75: acc=57.66% acc_corr=60.08% avg#q_ae=28.97 med#q=76.0, avg_margin=3.27, buff=19194, (n_ex=9597, eps=8.000, 387.66s)
76: acc=57.07% acc_corr=59.47% avg#q_ae=29.72 med#q=77.0, avg_margin=3.22, buff=19194, (n_ex=9597, eps=8.000, 391.95s)
77: acc=56.85% acc_corr=59.24% avg#q_ae=29.99 med#q=78.0, avg_margin=3.20, buff=19194, (n_ex=9597, eps=8.000, 396.21s)
78: acc=56.57% acc_corr=58.95% avg#q_ae=30.35 med#q=79.0, avg_margin=3.17, buff=19194, (n_ex=9597, eps=8.000, 400.39s)
79: acc=56.30% acc_corr=58.66% avg#q_ae=30.69 med#q=80.0, avg_margin=3.15, buff=19194, (n_ex=9597, eps=8.000, 404.51s)
80: acc=56.17% acc_corr=58.53% avg#q_ae=30.86 med#q=81.0, avg_margin=3.14, buff=19194, (n_ex=9597, eps=8.000, 408.93s)
81: acc=55.79% acc_corr=58.13% avg#q_ae=31.35 med#q=82.0, avg_margin=3.10, buff=19194, (n_ex=9597, eps=8.000, 413.07s)
82: acc=55.50% acc_corr=57.83% avg#q_ae=31.73 med#q=83.0, avg_margin=3.09, buff=19194, (n_ex=9597, eps=8.000, 417.16s)
83: acc=55.31% acc_corr=57.63% avg#q_ae=31.98 med#q=84.0, avg_margin=3.07, buff=19194, (n_ex=9597, eps=8.000, 421.24s)
84: acc=54.91% acc_corr=57.22% avg#q_ae=32.51 med#q=85.0, avg_margin=3.04, buff=19194, (n_ex=9597, eps=8.000, 425.30s)
85: acc=54.67% acc_corr=56.97% avg#q_ae=32.82 med#q=86.0, avg_margin=3.02, buff=19194, (n_ex=9597, eps=8.000, 429.27s)
86: acc=54.48% acc_corr=56.77% avg#q_ae=33.08 med#q=87.0, avg_margin=2.99, buff=19194, (n_ex=9597, eps=8.000, 433.43s)
87: acc=54.08% acc_corr=56.35% avg#q_ae=33.61 med#q=88.0, avg_margin=2.96, buff=19194, (n_ex=9597, eps=8.000, 437.43s)
88: acc=53.85% acc_corr=56.11% avg#q_ae=33.92 med#q=89.0, avg_margin=2.94, buff=19194, (n_ex=9597, eps=8.000, 441.39s)
89: acc=53.48% acc_corr=55.73% avg#q_ae=34.41 med#q=90.0, avg_margin=2.91, buff=19194, (n_ex=9597, eps=8.000, 445.50s)
90: acc=53.34% acc_corr=55.58% avg#q_ae=34.60 med#q=91.0, avg_margin=2.89, buff=19194, (n_ex=9597, eps=8.000, 449.36s)
91: acc=53.01% acc_corr=55.24% avg#q_ae=35.05 med#q=92.0, avg_margin=2.86, buff=19194, (n_ex=9597, eps=8.000, 453.13s)
92: acc=52.63% acc_corr=54.84% avg#q_ae=35.57 med#q=93.0, avg_margin=2.83, buff=19194, (n_ex=9597, eps=8.000, 457.01s)
93: acc=52.30% acc_corr=54.50% avg#q_ae=36.02 med#q=94.0, avg_margin=2.80, buff=19194, (n_ex=9597, eps=8.000, 460.78s)
94: acc=52.19% acc_corr=54.38% avg#q_ae=36.17 med#q=95.0, avg_margin=2.79, buff=19194, (n_ex=9597, eps=8.000, 464.50s)
95: acc=52.06% acc_corr=54.25% avg#q_ae=36.35 med#q=96.0, avg_margin=2.77, buff=19194, (n_ex=9597, eps=8.000, 468.23s)
96: acc=51.79% acc_corr=53.96% avg#q_ae=36.73 med#q=97.0, avg_margin=2.75, buff=19194, (n_ex=9597, eps=8.000, 472.02s)
97: acc=51.62% acc_corr=53.79% avg#q_ae=36.96 med#q=98.0, avg_margin=2.74, buff=19194, (n_ex=9597, eps=8.000, 475.87s)
98: acc=51.41% acc_corr=53.57% avg#q_ae=37.26 med#q=99.0, avg_margin=2.72, buff=19194, (n_ex=9597, eps=8.000, 479.77s)
99: acc=51.23% acc_corr=53.38% avg#q_ae=37.52 med#q=100.0, avg_margin=2.70, buff=19194, (n_ex=9597, eps=8.000, 483.60s)
100: acc=51.11% acc_corr=53.26% avg#q_ae=37.69 med#q=101.0, avg_margin=2.69, buff=19194, (n_ex=9597, eps=8.000, 487.31s)
101: acc=50.99% acc_corr=53.13% avg#q_ae=37.86 med#q=102.0, avg_margin=2.68, buff=19194, (n_ex=9597, eps=8.000, 491.11s)
102: acc=50.59% acc_corr=52.71% avg#q_ae=38.45 med#q=103.0, avg_margin=2.65, buff=19194, (n_ex=9597, eps=8.000, 494.87s)
103: acc=50.50% acc_corr=52.62% avg#q_ae=38.58 med#q=104.0, avg_margin=2.64, buff=19194, (n_ex=9597, eps=8.000, 498.53s)
104: acc=50.30% acc_corr=52.41% avg#q_ae=38.87 med#q=105.0, avg_margin=2.63, buff=19194, (n_ex=9597, eps=8.000, 502.19s)
105: acc=50.16% acc_corr=52.27% avg#q_ae=39.08 med#q=106.0, avg_margin=2.61, buff=19194, (n_ex=9597, eps=8.000, 505.80s)
106: acc=50.06% acc_corr=52.16% avg#q_ae=39.23 med#q=107.0, avg_margin=2.60, buff=19194, (n_ex=9597, eps=8.000, 509.49s)
107: acc=49.91% acc_corr=52.01% avg#q_ae=39.46 med#q=108.0, avg_margin=2.59, buff=19194, (n_ex=9597, eps=8.000, 513.18s)
108: acc=49.74% acc_corr=51.83% avg#q_ae=39.72 med#q=109.0, avg_margin=2.57, buff=19194, (n_ex=9597, eps=8.000, 516.83s)
109: acc=49.34% acc_corr=51.41% avg#q_ae=40.33 med#q=110.0, avg_margin=2.54, buff=19194, (n_ex=9597, eps=8.000, 520.61s)
110: acc=49.12% acc_corr=51.18% avg#q_ae=40.67 med#q=111.0, avg_margin=2.52, buff=19194, (n_ex=9597, eps=8.000, 524.31s)
111: acc=48.97% acc_corr=51.03% avg#q_ae=40.90 med#q=112.0, avg_margin=2.51, buff=19194, (n_ex=9597, eps=8.000, 528.03s)
112: acc=48.79% acc_corr=50.84% avg#q_ae=41.18 med#q=113.0, avg_margin=2.49, buff=19194, (n_ex=9597, eps=8.000, 531.60s)
