2021-05-05_00-17-17_EXACT_IFTY0_densenet_HRZ0_RND1__Eps3
42: acc=58.60% acc_corr=58.92% avg#q_ae=24.48 med#q=43.0, avg_margin=1.87, buff=19892, n_ex=9946, eps=3.000, 458.99s
43: acc=57.58% acc_corr=57.89% avg#q_ae=24.98 med#q=44.0, avg_margin=1.80, buff=19892, n_ex=9946, eps=3.000, 466.84s
44: acc=56.75% acc_corr=57.06% avg#q_ae=25.39 med#q=45.0, avg_margin=1.74, buff=19892, n_ex=9946, eps=3.000, 482.73s
45: acc=56.18% acc_corr=56.49% avg#q_ae=25.67 med#q=46.0, avg_margin=1.71, buff=19892, n_ex=9946, eps=3.000, 497.57s
46: acc=55.41% acc_corr=55.71% avg#q_ae=26.06 med#q=47.0, avg_margin=1.66, buff=19892, n_ex=9946, eps=3.000, 507.37s
47: acc=54.74% acc_corr=55.04% avg#q_ae=26.41 med#q=48.0, avg_margin=1.62, buff=19892, n_ex=9946, eps=3.000, 517.31s
48: acc=53.59% acc_corr=53.88% avg#q_ae=27.00 med#q=49.0, avg_margin=1.55, buff=19892, n_ex=9946, eps=3.000, 523.58s
49: acc=52.33% acc_corr=52.61% avg#q_ae=27.64 med#q=50.0, avg_margin=1.47, buff=19892, n_ex=9946, eps=3.000, 532.05s
50: acc=51.12% acc_corr=51.40% avg#q_ae=28.25 med#q=51.0, avg_margin=1.40, buff=19892, n_ex=9946, eps=3.000, 533.28s
51: acc=50.21% acc_corr=50.48% avg#q_ae=28.71 med#q=52.0, avg_margin=1.35, buff=19892, n_ex=9946, eps=3.000, 535.81s
52: acc=49.57% acc_corr=49.84% avg#q_ae=29.03 med#q=53.0, avg_margin=1.31, buff=19892, n_ex=9946, eps=3.000, 536.29s
53: acc=49.04% acc_corr=49.31% avg#q_ae=29.30 med#q=53.0, avg_margin=1.28, buff=19892, n_ex=9946, eps=3.000, 536.77s
54: acc=48.50% acc_corr=48.76% avg#q_ae=29.59 med#q=53.0, avg_margin=1.25, buff=19892, n_ex=9946, eps=3.000, 537.25s
55: acc=48.02% acc_corr=48.28% avg#q_ae=29.84 med#q=53.0, avg_margin=1.22, buff=19892, n_ex=9946, eps=3.000, 537.72s
56: acc=47.41% acc_corr=47.67% avg#q_ae=30.17 med#q=53.0, avg_margin=1.19, buff=19892, n_ex=9946, eps=3.000, 538.19s
57: acc=47.04% acc_corr=47.30% avg#q_ae=30.38 med#q=53.0, avg_margin=1.17, buff=19892, n_ex=9946, eps=3.000, 538.65s
58: acc=46.56% acc_corr=46.81% avg#q_ae=30.64 med#q=53.0, avg_margin=1.14, buff=19892, n_ex=9946, eps=3.000, 539.11s
59: acc=46.12% acc_corr=46.37% avg#q_ae=30.89 med#q=53.0, avg_margin=1.12, buff=19892, n_ex=9946, eps=3.000, 539.56s
60: acc=45.81% acc_corr=46.06% avg#q_ae=31.07 med#q=53.0, avg_margin=1.10, buff=19892, n_ex=9946, eps=3.000, 540.01s
61: acc=45.47% acc_corr=45.72% avg#q_ae=31.28 med#q=53.0, avg_margin=1.08, buff=19892, n_ex=9946, eps=3.000, 540.45s
62: acc=45.16% acc_corr=45.41% avg#q_ae=31.46 med#q=53.0, avg_margin=1.06, buff=19892, n_ex=9946, eps=3.000, 540.89s
63: acc=44.80% acc_corr=45.04% avg#q_ae=31.68 med#q=53.0, avg_margin=1.05, buff=19892, n_ex=9946, eps=3.000, 541.33s
64: acc=44.49% acc_corr=44.73% avg#q_ae=31.88 med#q=53.0, avg_margin=1.03, buff=19892, n_ex=9946, eps=3.000, 541.77s
65: acc=44.27% acc_corr=44.51% avg#q_ae=32.02 med#q=53.0, avg_margin=1.02, buff=19892, n_ex=9946, eps=3.000, 543.76s
66: acc=43.48% acc_corr=43.72% avg#q_ae=32.52 med#q=53.0, avg_margin=0.98, buff=19892, n_ex=9946, eps=3.000, 544.20s
67: acc=43.12% acc_corr=43.35% avg#q_ae=32.76 med#q=53.0, avg_margin=0.96, buff=19892, n_ex=9946, eps=3.000, 544.63s
68: acc=42.50% acc_corr=42.73% avg#q_ae=33.16 med#q=53.0, avg_margin=0.93, buff=19892, n_ex=9946, eps=3.000, 545.04s
69: acc=41.92% acc_corr=42.15% avg#q_ae=33.54 med#q=53.0, avg_margin=0.91, buff=19892, n_ex=9946, eps=3.000, 545.46s
70: acc=41.32% acc_corr=41.54% avg#q_ae=33.94 med#q=53.0, avg_margin=0.88, buff=19892, n_ex=9946, eps=3.000, 545.87s
71: acc=40.66% acc_corr=40.88% avg#q_ae=34.38 med#q=53.0, avg_margin=0.85, buff=19892, n_ex=9946, eps=3.000, 546.27s
72: acc=40.31% acc_corr=40.53% avg#q_ae=34.61 med#q=53.0, avg_margin=0.83, buff=19892, n_ex=9946, eps=3.000, 546.66s
73: acc=40.10% acc_corr=40.32% avg#q_ae=34.76 med#q=53.0, avg_margin=0.82, buff=19892, n_ex=9946, eps=3.000, 547.05s
74: acc=39.52% acc_corr=39.73% avg#q_ae=35.16 med#q=53.0, avg_margin=0.79, buff=19892, n_ex=9946, eps=3.000, 547.44s
75: acc=39.19% acc_corr=39.40% avg#q_ae=35.38 med#q=53.0, avg_margin=0.77, buff=19892, n_ex=9946, eps=3.000, 547.82s
76: acc=38.89% acc_corr=39.10% avg#q_ae=35.60 med#q=53.0, avg_margin=0.76, buff=19892, n_ex=9946, eps=3.000, 548.20s
77: acc=38.63% acc_corr=38.84% avg#q_ae=35.78 med#q=53.0, avg_margin=0.75, buff=19892, n_ex=9946, eps=3.000, 548.58s
78: acc=37.90% acc_corr=38.11% avg#q_ae=36.31 med#q=53.0, avg_margin=0.72, buff=19892, n_ex=9946, eps=3.000, 548.95s
79: acc=37.66% acc_corr=37.86% avg#q_ae=36.48 med#q=53.0, avg_margin=0.71, buff=19892, n_ex=9946, eps=3.000, 549.32s
80: acc=37.28% acc_corr=37.48% avg#q_ae=36.76 med#q=53.0, avg_margin=0.70, buff=19892, n_ex=9946, eps=3.000, 549.68s
81: acc=36.99% acc_corr=37.19% avg#q_ae=36.97 med#q=53.0, avg_margin=0.68, buff=19892, n_ex=9946, eps=3.000, 550.04s
82: acc=36.89% acc_corr=37.09% avg#q_ae=37.05 med#q=53.0, avg_margin=0.67, buff=19892, n_ex=9946, eps=3.000, 550.40s
83: acc=36.56% acc_corr=36.76% avg#q_ae=37.30 med#q=53.0, avg_margin=0.66, buff=19892, n_ex=9946, eps=3.000, 551.43s
84: acc=36.39% acc_corr=36.59% avg#q_ae=37.43 med#q=53.0, avg_margin=0.65, buff=19892, n_ex=9946, eps=3.000, 551.78s
85: acc=35.91% acc_corr=36.10% avg#q_ae=37.80 med#q=53.0, avg_margin=0.62, buff=19892, n_ex=9946, eps=3.000, 552.14s
86: acc=35.73% acc_corr=35.92% avg#q_ae=37.95 med#q=53.0, avg_margin=0.61, buff=19892, n_ex=9946, eps=3.000, 552.48s
87: acc=35.57% acc_corr=35.76% avg#q_ae=38.07 med#q=53.0, avg_margin=0.60, buff=19892, n_ex=9946, eps=3.000, 552.83s
