2021-05-05_00-13-12_EXACT_IFTY1_wrn_HRZ0_RND1__Eps76
42: acc=35.14% acc_corr=35.35% avg#q_ae=17.75 med#q=28.0, avg_margin=0.52, buff=19882, n_ex=9941, eps=76.500, 96.21s
43: acc=33.84% acc_corr=34.04% avg#q_ae=18.29 med#q=28.0, avg_margin=0.48, buff=19882, n_ex=9941, eps=76.500, 96.91s
44: acc=33.32% acc_corr=33.52% avg#q_ae=18.51 med#q=28.0, avg_margin=0.46, buff=19882, n_ex=9941, eps=76.500, 97.66s
45: acc=32.81% acc_corr=33.00% avg#q_ae=18.72 med#q=28.0, avg_margin=0.44, buff=19882, n_ex=9941, eps=76.500, 98.30s
46: acc=32.45% acc_corr=32.64% avg#q_ae=18.88 med#q=28.0, avg_margin=0.42, buff=19882, n_ex=9941, eps=76.500, 98.92s
47: acc=31.42% acc_corr=31.61% avg#q_ae=19.34 med#q=28.0, avg_margin=0.38, buff=19882, n_ex=9941, eps=76.500, 99.68s
48: acc=30.65% acc_corr=30.83% avg#q_ae=19.68 med#q=28.0, avg_margin=0.35, buff=19882, n_ex=9941, eps=76.500, 100.29s
49: acc=30.24% acc_corr=30.42% avg#q_ae=19.87 med#q=28.0, avg_margin=0.33, buff=19882, n_ex=9941, eps=76.500, 100.88s
50: acc=29.39% acc_corr=29.56% avg#q_ae=20.26 med#q=28.0, avg_margin=0.30, buff=19882, n_ex=9941, eps=76.500, 101.48s
51: acc=28.94% acc_corr=29.11% avg#q_ae=20.47 med#q=28.0, avg_margin=0.28, buff=19882, n_ex=9941, eps=76.500, 101.99s
52: acc=28.27% acc_corr=28.44% avg#q_ae=20.78 med#q=28.0, avg_margin=0.26, buff=19882, n_ex=9941, eps=76.500, 102.51s
53: acc=27.44% acc_corr=27.60% avg#q_ae=21.18 med#q=28.0, avg_margin=0.24, buff=19882, n_ex=9941, eps=76.500, 103.03s
54: acc=26.97% acc_corr=27.13% avg#q_ae=21.40 med#q=28.0, avg_margin=0.22, buff=19882, n_ex=9941, eps=76.500, 103.52s
55: acc=26.72% acc_corr=26.88% avg#q_ae=21.52 med#q=28.0, avg_margin=0.21, buff=19882, n_ex=9941, eps=76.500, 104.01s
56: acc=26.43% acc_corr=26.59% avg#q_ae=21.67 med#q=28.0, avg_margin=0.20, buff=19882, n_ex=9941, eps=76.500, 104.48s
57: acc=26.10% acc_corr=26.25% avg#q_ae=21.84 med#q=28.0, avg_margin=0.19, buff=19882, n_ex=9941, eps=76.500, 105.02s
