2021-05-05_00-14-46_EXACT_IFTY0_resnet_preact_HRZ0_RND1__Eps3
42: acc=66.76% acc_corr=67.03% avg#q_ae=21.49 med#q=43.0, avg_margin=2.96, buff=19918, n_ex=9959, eps=3.000, 252.26s
43: acc=66.00% acc_corr=66.27% avg#q_ae=22.03 med#q=44.0, avg_margin=2.90, buff=19918, n_ex=9959, eps=3.000, 257.13s
44: acc=65.68% acc_corr=65.95% avg#q_ae=22.25 med#q=45.0, avg_margin=2.86, buff=19918, n_ex=9959, eps=3.000, 262.15s
45: acc=64.62% acc_corr=64.89% avg#q_ae=23.00 med#q=46.0, avg_margin=2.78, buff=19918, n_ex=9959, eps=3.000, 267.91s
46: acc=63.63% acc_corr=63.89% avg#q_ae=23.69 med#q=47.0, avg_margin=2.70, buff=19918, n_ex=9959, eps=3.000, 273.78s
47: acc=63.41% acc_corr=63.67% avg#q_ae=23.84 med#q=48.0, avg_margin=2.68, buff=19918, n_ex=9959, eps=3.000, 280.93s
48: acc=62.87% acc_corr=63.13% avg#q_ae=24.23 med#q=49.0, avg_margin=2.63, buff=19918, n_ex=9959, eps=3.000, 296.83s
49: acc=62.04% acc_corr=62.30% avg#q_ae=24.82 med#q=50.0, avg_margin=2.57, buff=19918, n_ex=9959, eps=3.000, 306.19s
50: acc=61.67% acc_corr=61.92% avg#q_ae=25.09 med#q=51.0, avg_margin=2.54, buff=19918, n_ex=9959, eps=3.000, 316.10s
51: acc=61.21% acc_corr=61.46% avg#q_ae=25.42 med#q=52.0, avg_margin=2.52, buff=19918, n_ex=9959, eps=3.000, 329.17s
52: acc=60.77% acc_corr=61.02% avg#q_ae=25.74 med#q=53.0, avg_margin=2.48, buff=19918, n_ex=9959, eps=3.000, 333.86s
53: acc=59.77% acc_corr=60.02% avg#q_ae=26.48 med#q=54.0, avg_margin=2.42, buff=19918, n_ex=9959, eps=3.000, 339.65s
54: acc=59.31% acc_corr=59.55% avg#q_ae=26.82 med#q=55.0, avg_margin=2.39, buff=19918, n_ex=9959, eps=3.000, 344.77s
55: acc=59.02% acc_corr=59.26% avg#q_ae=27.03 med#q=56.0, avg_margin=2.37, buff=19918, n_ex=9959, eps=3.000, 353.35s
