2021-05-05_00-12-41_EXACT_IFTY1_densenet_HRZ0_RND1__Eps76
42: acc=29.20% acc_corr=29.36% avg#q_ae=17.09 med#q=22.0, avg_margin=0.45, buff=19892, n_ex=9946, eps=76.500, 79.57s
43: acc=27.79% acc_corr=27.94% avg#q_ae=17.64 med#q=22.0, avg_margin=0.36, buff=19892, n_ex=9946, eps=76.500, 79.93s
44: acc=27.34% acc_corr=27.49% avg#q_ae=17.82 med#q=22.0, avg_margin=0.34, buff=19892, n_ex=9946, eps=76.500, 80.26s
45: acc=27.00% acc_corr=27.15% avg#q_ae=17.96 med#q=22.0, avg_margin=0.32, buff=19892, n_ex=9946, eps=76.500, 80.58s
46: acc=26.71% acc_corr=26.86% avg#q_ae=18.08 med#q=22.0, avg_margin=0.31, buff=19892, n_ex=9946, eps=76.500, 80.98s
47: acc=26.09% acc_corr=26.23% avg#q_ae=18.34 med#q=22.0, avg_margin=0.28, buff=19892, n_ex=9946, eps=76.500, 81.34s
48: acc=25.69% acc_corr=25.83% avg#q_ae=18.51 med#q=22.0, avg_margin=0.26, buff=19892, n_ex=9946, eps=76.500, 81.64s
49: acc=25.03% acc_corr=25.17% avg#q_ae=18.80 med#q=22.0, avg_margin=0.23, buff=19892, n_ex=9946, eps=76.500, 81.93s
50: acc=24.74% acc_corr=24.87% avg#q_ae=18.93 med#q=22.0, avg_margin=0.22, buff=19892, n_ex=9946, eps=76.500, 82.22s
51: acc=24.18% acc_corr=24.31% avg#q_ae=19.18 med#q=22.0, avg_margin=0.20, buff=19892, n_ex=9946, eps=76.500, 82.51s
52: acc=23.19% acc_corr=23.32% avg#q_ae=19.63 med#q=22.0, avg_margin=0.16, buff=19892, n_ex=9946, eps=76.500, 82.93s
53: acc=22.95% acc_corr=23.07% avg#q_ae=19.74 med#q=22.0, avg_margin=0.14, buff=19892, n_ex=9946, eps=76.500, 83.27s
54: acc=22.84% acc_corr=22.96% avg#q_ae=19.80 med#q=22.0, avg_margin=0.14, buff=19892, n_ex=9946, eps=76.500, 83.54s
55: acc=22.55% acc_corr=22.67% avg#q_ae=19.94 med#q=22.0, avg_margin=0.13, buff=19892, n_ex=9946, eps=76.500, 83.81s
56: acc=22.25% acc_corr=22.37% avg#q_ae=20.08 med#q=22.0, avg_margin=0.11, buff=19892, n_ex=9946, eps=76.500, 84.09s
57: acc=22.12% acc_corr=22.24% avg#q_ae=20.15 med#q=22.0, avg_margin=0.11, buff=19892, n_ex=9946, eps=76.500, 84.34s
58: acc=21.86% acc_corr=21.98% avg#q_ae=20.28 med#q=22.0, avg_margin=0.10, buff=19892, n_ex=9946, eps=76.500, 84.62s
59: acc=21.52% acc_corr=21.64% avg#q_ae=20.46 med#q=22.0, avg_margin=0.09, buff=19892, n_ex=9946, eps=76.500, 84.90s
60: acc=21.33% acc_corr=21.45% avg#q_ae=20.56 med#q=22.0, avg_margin=0.08, buff=19892, n_ex=9946, eps=76.500, 85.16s
61: acc=20.98% acc_corr=21.09% avg#q_ae=20.75 med#q=22.0, avg_margin=0.06, buff=19892, n_ex=9946, eps=76.500, 85.45s
62: acc=20.53% acc_corr=20.64% avg#q_ae=21.00 med#q=22.0, avg_margin=0.04, buff=19892, n_ex=9946, eps=76.500, 85.71s
63: acc=20.13% acc_corr=20.24% avg#q_ae=21.22 med#q=22.0, avg_margin=0.02, buff=19892, n_ex=9946, eps=76.500, 85.95s
64: acc=19.74% acc_corr=19.85% avg#q_ae=21.44 med#q=22.0, avg_margin=0.00, buff=19892, n_ex=9946, eps=76.500, 86.20s
65: acc=19.16% acc_corr=19.26% avg#q_ae=21.77 med#q=22.0, avg_margin=-0.02, buff=19892, n_ex=9946, eps=76.500, 86.42s
66: acc=18.91% acc_corr=19.01% avg#q_ae=21.91 med#q=22.0, avg_margin=-0.03, buff=19892, n_ex=9946, eps=76.500, 86.65s
67: acc=18.49% acc_corr=18.59% avg#q_ae=22.15 med#q=22.0, avg_margin=-0.05, buff=19892, n_ex=9946, eps=76.500, 86.88s
68: acc=18.10% acc_corr=18.20% avg#q_ae=22.38 med#q=22.0, avg_margin=-0.07, buff=19892, n_ex=9946, eps=76.500, 87.13s
69: acc=17.86% acc_corr=17.96% avg#q_ae=22.53 med#q=22.0, avg_margin=-0.08, buff=19892, n_ex=9946, eps=76.500, 87.35s
70: acc=17.44% acc_corr=17.53% avg#q_ae=22.78 med#q=22.0, avg_margin=-0.10, buff=19892, n_ex=9946, eps=76.500, 87.59s
71: acc=16.84% acc_corr=16.93% avg#q_ae=23.15 med#q=22.0, avg_margin=-0.12, buff=19892, n_ex=9946, eps=76.500, 87.80s
72: acc=16.38% acc_corr=16.47% avg#q_ae=23.43 med#q=22.0, avg_margin=-0.14, buff=19892, n_ex=9946, eps=76.500, 88.00s
73: acc=16.02% acc_corr=16.11% avg#q_ae=23.65 med#q=22.0, avg_margin=-0.16, buff=19892, n_ex=9946, eps=76.500, 88.19s
74: acc=15.66% acc_corr=15.75% avg#q_ae=23.87 med#q=22.0, avg_margin=-0.18, buff=19892, n_ex=9946, eps=76.500, 88.39s
75: acc=15.60% acc_corr=15.68% avg#q_ae=23.91 med#q=22.0, avg_margin=-0.18, buff=19892, n_ex=9946, eps=76.500, 88.58s
76: acc=15.40% acc_corr=15.48% avg#q_ae=24.04 med#q=22.0, avg_margin=-0.19, buff=19892, n_ex=9946, eps=76.500, 88.78s
77: acc=15.19% acc_corr=15.27% avg#q_ae=24.18 med#q=22.0, avg_margin=-0.20, buff=19892, n_ex=9946, eps=76.500, 88.95s
78: acc=15.07% acc_corr=15.15% avg#q_ae=24.26 med#q=22.0, avg_margin=-0.20, buff=19892, n_ex=9946, eps=76.500, 89.15s
79: acc=14.83% acc_corr=14.91% avg#q_ae=24.42 med#q=22.0, avg_margin=-0.22, buff=19892, n_ex=9946, eps=76.500, 89.35s
80: acc=14.74% acc_corr=14.82% avg#q_ae=24.48 med#q=22.0, avg_margin=-0.22, buff=19892, n_ex=9946, eps=76.500, 89.53s
